,Value
2366,4.7
2367,4.9
2368,111.0
2369,119.0
2370,230.0
2371,4.4
2372,4.0
2373,4.2
2374,86.0
2375,95.0
2376,181.0
2377,17.6
2378,13.3
2379,15.2
2380,25.0
2381,24.0
2382,49.0
2383,5.3
2384,4.6
2385,4.9
2386,110.0
2387,118.0
2388,228.0
2389,4.4
2390,3.9
2391,4.2
2392,87.0
2393,94.0
2394,181.0
2395,16.6
2396,13.3
2397,14.7
2398,23.0
2399,24.0
2400,47.0
2401,5.1
2402,5.1
2403,5.1
2404,54.0
2405,63.0
2406,117.0
2407,3.0
2408,4.0
2409,3.6
2410,28.0
2411,45.0
2412,73.0
2413,21.4
2414,14.9
2415,18.1
2416,25.0
2417,18.0
2418,43.0
2419,4.6
2420,4.7
2421,4.6
2422,48.0
2423,58.0
2424,106.0
2425,3.0
2426,3.9
2427,3.5
2428,28.0
2429,44.0
2430,73.0
2431,17.3
2432,12.5
2433,14.8
2434,19.0
2435,14.0
2436,34.0
2437,4.6
2438,4.7
2439,4.7
2440,49.0
2441,58.0
2442,107.0
2443,3.1
2444,3.9
2445,3.6
2446,29.0
2447,44.0
2448,73.0
2449,17.2
2450,12.4
2451,14.8
2452,19.0
2453,14.0
2454,34.0
2455,3.5
2456,3.5
2457,3.5
2458,4.0
2459,4.0
2460,8.0
2461,2.9
2462,3.5
2463,3.3
2464,2.0
2465,3.0
2466,6.0
2467,6.1
2468,3.5
2469,4.9
2470,1.0
2471,1.0
2472,2.0
2473,4.4
2474,4.6
2475,4.5
